------------------------------------------------------------------------------------------------- Source: sample1.mfc --------------------------------------------------------------------------------------------------
  Sample Bytes:  104      Sample Kind:   MFCC_D_Z_0
  Num Comps:     26       Sample Period: 10000.0 us
  Num Samples:   1032     File Format:   HTK
------------------------------------------------------------------------------------------------ Observation Structure -------------------------------------------------------------------------------------------------
x:      MFCC-1  MFCC-2  MFCC-3  MFCC-4  MFCC-5  MFCC-6  MFCC-7  MFCC-8  MFCC-9 MFCC-10 MFCC-11 MFCC-12      C0   Del-1   Del-2   Del-3   Del-4   Del-5   Del-6   Del-7   Del-8   Del-9  Del-10  Del-11  Del-12   DelC0
--------------------------------------------------------------------------------------------------- Samples: 0->200 ----------------------------------------------------------------------------------------------------
95:     15.325  19.718  11.567   3.941  -1.008 -12.092 -27.870  -8.266   8.012   7.915  -8.147  -7.468   3.989   0.460   0.081  -0.410  -1.187  -0.421  -1.489  -3.349  -1.993   1.710   2.672   1.375  -0.009   0.544
96:     16.715  19.217   9.464   2.780  -3.733 -12.212 -26.702 -10.258   7.612   7.052  -3.442  -6.131   5.366   0.941  -0.939  -1.493  -2.176  -1.543  -0.829  -0.493  -0.881   1.337   1.435   1.745   0.896   1.345
97:     17.730  19.152  10.195   0.444  -3.541 -16.256 -33.545 -10.603  15.988  12.773  -7.028  -5.849   6.471   1.232  -1.352  -1.883  -2.970  -1.720  -0.715   0.268   0.384   3.110   1.197   0.714   0.611   1.455
98:     19.082  14.953   5.859  -3.604  -7.586 -13.835 -24.889  -9.995  13.117  10.787  -1.548  -3.873   9.426   0.896  -1.308  -1.742  -3.800  -1.870   0.408   1.143   2.050   2.732   0.490   0.431   0.036   1.063
99:     20.304  15.089   3.955  -7.716  -7.682 -14.857 -27.435  -6.478  20.807  12.031  -5.525  -5.544   9.234   0.183  -1.487  -0.919  -2.915  -2.871   0.054   3.971   3.999   0.268  -1.700   1.736  -0.084   0.872
100:    19.910  14.707   3.874 -12.140 -11.013 -10.871 -24.043  -2.072  18.863   9.876  -2.038  -6.105   9.302  -0.735  -0.963   0.612  -1.552  -3.085  -1.410   5.227   4.676   0.347  -3.480   2.295   0.365   0.784
101:    18.229  11.839   6.594  -9.862 -16.185 -17.467 -14.111   5.427  14.454   4.730   1.898  -5.151  10.892  -1.182  -0.851   1.163  -0.851  -4.181  -0.592   7.595   3.250  -0.492  -6.936   5.472   1.804   1.192
102:    16.443  11.765   7.600 -10.289 -18.761 -19.580  -5.417   7.432  18.028  -2.964   6.214  -2.245  12.516  -0.744  -0.988   0.139  -0.531  -2.482  -1.083   6.954   2.556  -0.547  -7.949   5.302   2.725   1.428
103:    16.126  12.306   7.905 -12.896 -24.713 -13.462   1.225   5.020  18.764 -16.229  17.708   1.545  13.589   0.109  -0.802  -1.487  -0.336  -0.592  -0.345   4.682   2.509  -1.136  -6.839   3.283   2.125   0.935
104:    17.243   9.535   3.915 -13.276 -19.158 -18.291   3.061  10.911  13.976 -19.391  16.565   4.172  15.093   0.594  -1.700  -2.080   0.743   0.580  -0.131   1.997   3.502  -2.495  -4.193  -0.024   1.128   0.533
105:    18.373   8.945   1.002 -10.050 -18.946 -19.835   5.058  16.231  10.799 -21.249  13.135   2.268  14.280   0.673  -2.217  -1.980   0.762   1.850   0.663   0.612   3.248  -3.204  -0.829  -2.790   0.771   0.178
106:    18.292   4.947   0.653  -7.995 -18.744 -17.048   2.652  19.338   9.535 -21.421   8.380   3.032  14.836   0.408  -1.945  -1.169   0.360   1.069   3.101  -0.118   1.232  -3.238   0.609  -2.455   0.652  -0.171
107:    18.969   3.517  -0.364 -11.725 -15.670 -10.767   4.488  17.045   4.963 -19.358   7.850   5.970  14.609   0.182  -2.009  -0.336  -0.094   1.333   4.432  -1.317  -0.896  -3.196   2.033  -1.454   1.067  -0.257
108:    18.988   2.522  -1.249 -10.637 -15.451  -7.319   2.757  16.662   0.701 -17.290   6.933   5.578  14.075   0.081  -1.372  -0.896   0.722   2.878   3.938  -2.702  -3.326  -0.844   2.103  -0.785   0.787  -0.411
109:    18.935   0.112   0.270  -9.198 -13.929  -2.538  -1.578  13.090  -0.765 -13.150   6.591   6.328  13.377  -0.065  -1.000  -1.714   2.269   4.029   3.056  -2.856  -4.065   0.842   1.026  -1.366   0.416  -0.401
110:    18.715  -0.212  -4.144  -5.648  -5.224  -1.470  -7.825   4.684   8.181 -14.008   5.083   6.787  13.395   0.031  -0.763  -1.983   3.089   4.418   2.569  -0.974  -4.454   0.261   0.577  -1.654   0.317  -0.440
111:    18.781  -0.117  -7.489  -2.873  -0.641   1.589  -4.502   2.709   5.436 -15.872   1.947   7.447  12.945   0.157  -0.443  -2.247   3.419   4.098   0.973   0.917  -2.425  -1.745  -0.002  -1.276   0.085  -0.439
112:    19.219  -1.181  -7.285   1.645  -0.004   3.461  -0.652  -0.417  -1.094 -13.042   0.986   6.604  12.089  -0.215   0.110  -0.567   3.593   3.116   0.202   1.276  -0.209  -3.442   1.760  -0.284  -1.094  -0.901
113:    19.469  -1.621  -9.393   4.251   3.951  -0.137  -0.579   3.516  -4.852 -13.641   2.261   6.845  11.836  -0.387   0.477   0.595   4.226   2.380  -1.384  -0.092   0.256  -1.689   2.062  -0.670  -1.859  -0.995
114:    17.293   1.092  -6.025   8.756   8.061   0.401  -3.405   3.235  -3.885  -6.322   3.505   1.618   9.447  -0.436   0.643   1.257   3.535   2.226  -1.745  -0.954   1.082  -0.224   1.500  -1.203  -2.049  -0.876
115:    17.811   1.132  -5.147  14.704   7.228  -3.803  -3.587   2.166  -1.613  -8.923  -2.664   0.644   9.290  -0.353   0.561   1.685   2.368   1.358  -0.724  -0.534   0.111   0.178   1.217  -1.591  -2.257  -0.683
116:    17.870   0.657  -3.121  14.095   9.488  -3.431  -3.919   5.669  -3.836  -7.900  -2.567  -0.541   8.983  -0.035   0.221   0.765   1.188   0.715  -0.518  -0.230   0.146   0.100   0.048  -1.515  -1.160  -0.271
117:    17.418   1.401  -2.421  13.421  10.027  -1.843  -2.993   2.853  -3.987  -6.768  -2.660  -3.361   8.654  -0.219   0.023   0.302   0.585   0.511  -0.042  -0.178   0.274   0.153   0.158  -0.471  -0.535  -0.182
118:    17.315   2.064  -3.563  15.336  10.235  -3.170  -4.852   3.621  -2.198  -7.159  -4.074  -2.178   8.409  -0.303  -0.187   0.116   0.483   0.033   0.029  -0.474   0.265   0.773  -0.427  -0.873  -0.024  -0.031
119:    16.992   0.542  -3.415  17.007   9.411  -4.144  -4.009   4.562  -1.665  -8.503  -4.266  -1.211   8.668  -0.229  -0.180  -0.039   0.289   0.012  -0.129  -0.208   0.688   0.735  -0.695  -1.109   0.305  -0.060
120:    16.570   0.153  -2.045  14.719   9.961  -2.136  -5.783   6.139  -1.131  -9.167  -6.129  -1.738   8.819  -0.326   0.409   0.212  -0.500   0.050   0.405   0.434   0.413  -0.062  -0.327  -0.806  -0.132  -0.273
121:    16.646   1.456  -3.374  15.173  10.224  -3.005  -3.570   5.035  -0.845  -9.238  -7.178  -2.053   8.150  -0.560   1.347   0.688  -0.969   0.234   1.046   0.563  -0.086  -0.268  -0.115  -0.880  -0.410  -0.660
122:    15.861   3.652  -2.522  13.755  10.078  -1.714  -2.900   5.450  -2.919  -8.425  -6.650  -2.418   7.304  -0.997   2.080   1.382  -0.495  -0.092   1.181   0.651  -0.741   0.070   0.564  -0.651  -0.847  -1.121
123:    14.548   5.529   0.266  12.642  10.525   0.873  -2.634   4.477  -2.113  -9.449  -8.404  -2.918   6.126  -1.539   1.940   2.174  -0.347   0.055   2.346   0.031  -1.783   0.822   1.459  -1.046  -1.549  -1.326
124:    12.635   8.514   3.043  13.510   9.351   1.831  -2.997   2.712  -0.145  -6.242  -8.771  -5.540   4.228  -1.842   1.780   2.233  -0.474   0.156   2.535   0.085  -2.093   1.442   2.024  -0.695  -1.475  -1.600
125:    10.561   8.725   4.715  13.561  10.863   6.951  -3.368  -2.509   1.880  -3.036 -11.348  -8.240   3.056  -2.233   1.510   2.405  -0.284  -0.106   2.044   0.430  -1.390   0.809   2.199   0.551  -0.501  -1.882
126:     8.644  10.951   6.418  10.924  10.688   7.924  -2.106  -1.520   2.293  -1.512  -8.654  -7.131   0.840  -2.634   0.905   1.975  -0.657  -0.559   1.622   1.114  -0.586   1.015   2.021   1.552   1.652  -1.974
127:     5.378  11.862  10.604  12.515   9.328   8.045  -0.927  -0.356   0.714  -0.821  -5.708  -4.628  -1.592  -1.938  -0.579  -0.928  -1.974  -0.411   0.634  -0.270  -2.223   1.056   3.287   2.859   3.277  -1.164
128:     2.057  11.472   9.974  10.749   7.324   9.396   1.351  -1.295   5.515   2.756  -3.832   0.915  -3.319  -1.128  -1.937  -2.816  -2.076  -0.225   0.615  -1.502  -3.816  -0.328   2.852   2.345   2.518  -0.369
129:     4.167   5.572  -1.703   3.781  10.491   9.387  -6.444 -13.736   5.550  11.265   0.535   4.122  -0.684  -1.237  -2.147  -2.737  -2.036  -0.318   0.936  -0.249  -2.448  -0.861   1.102   0.912   1.285  -0.393
130:     3.608   4.412  -1.506   4.910   8.980  10.327  -6.858 -13.909  -1.764   6.707  -0.048   1.084  -1.461  -1.885  -1.247  -0.753  -1.305  -1.283  -0.090   0.985   0.652  -1.303  -0.905  -0.189   0.323  -1.026
131:    -1.581   4.658   2.659   5.256   6.910  12.261   1.931  -6.287   0.050   2.715  -3.040   1.711  -4.485  -2.876   0.028   1.882  -0.518  -2.118   0.229   3.449   4.556  -0.422  -1.506  -0.998  -0.547  -1.876
132:    -4.494   5.694   4.025   3.486   2.698   7.507   2.086  -1.761   1.751   2.505  -2.990   3.736  -6.548  -2.553  -0.235   0.864  -1.170  -2.317  -0.322   2.666   4.379   1.352   0.521   0.393  -0.585  -1.570
133:    -6.163   5.071   4.939   1.902   3.042  11.941   6.329   2.970   1.681   5.837  -2.986   0.063  -7.520  -1.650  -1.092  -0.693  -1.468  -2.248  -1.111   0.653   2.449   1.463   1.962   0.675  -0.895  -1.001
134:    -6.866   3.031   1.673   0.736  -0.669   8.878   4.272   3.357   4.182   7.754   1.888  -1.016  -7.793  -1.375  -2.018  -1.861  -1.452  -2.168  -1.483  -0.678  -0.383  -0.279   0.109  -0.254  -1.023  -0.670
135:    -8.645   0.529   0.370  -0.711  -2.649   6.019   4.104   3.398   6.151   9.900  -2.105  -0.389  -8.869  -1.466  -1.678  -1.486  -2.131  -2.440  -2.093  -1.504  -2.467  -0.406  -1.663  -0.453  -0.510  -0.426
136:   -10.127  -2.124  -2.995  -2.468  -5.298   3.050  -0.192  -3.892  -1.880   1.021  -4.701  -1.153  -9.223  -0.794  -0.539  -0.452  -1.103  -1.195  -0.886  -1.042  -2.283  -0.788  -1.105  -0.290  -0.137  -0.230
137:   -11.862  -0.739  -0.159  -7.148  -6.846   4.388   1.043  -5.738   2.682   0.886  -1.956  -2.419  -8.937   0.039   0.439  -0.023  -0.164  -0.076   0.276  -0.752  -1.294  -1.028  -0.196   0.590  -0.653  -0.088
138:    -9.227   0.969  -0.325  -1.560  -4.545   5.263   0.594  -3.489   1.977   6.734   0.362  -0.687  -8.907   0.426   0.564   0.166   0.810   1.049   1.375   0.319   1.158   0.619   1.939   1.263   0.079  -0.058
139:    -8.900   1.177  -1.081  -1.985  -3.407   6.294  -0.049  -3.276  -0.918   6.063  -1.686  -3.888  -9.469   0.385   0.056  -0.142   1.285   0.809   0.652   0.035   1.532  -0.312   0.972   0.657   0.485  -0.216
140:    -9.476  -0.262  -1.703  -1.001  -1.772   8.970   1.950   0.665   3.013   8.129   1.479  -0.023  -9.248  -0.071   0.036  -0.030   0.129   0.502   0.452   0.320   1.080   0.257  -0.214   0.697   0.547  -0.134
141:    -9.813   0.158  -0.180  -1.002  -4.188   5.797   0.541  -0.154   0.604   5.050   0.773  -0.325  -9.847  -0.114   0.228   0.384   0.130   0.304  -0.112   0.222   0.698   0.504  -0.446  -0.371  -0.152  -0.067
142:    -9.127   1.661  -0.923  -1.408  -1.642   7.771   1.901   0.351   2.499   6.168   2.619   0.269  -9.390  -0.011   0.071   0.098  -0.162  -0.169  -0.775  -0.196   0.248  -0.000  -0.687  -1.102  -0.499  -0.051
143:    -9.644   1.356   0.449  -1.132  -1.954   6.336   1.084   0.371   1.857   4.814  -4.109  -4.796  -9.733  -0.157  -0.316   0.147   0.746   0.546   0.683   0.533   0.454   0.412  -0.722  -1.610   0.094  -0.017
144:    -9.617  -0.506  -1.527  -1.743  -3.736   4.826   0.701   1.644   2.387   4.812  -1.588  -0.283  -9.562  -0.240  -0.353   0.076   0.194  -0.238   0.241   0.165   0.650   0.425  -0.720  -0.672   0.848  -0.165
145:   -10.352  -0.337   0.860   2.896  -0.413  10.687   3.806   1.468   2.722   2.118  -5.171   0.423  -9.845  -0.013   0.074   0.008  -0.035  -0.297   0.854   0.891  -0.498  -0.501  -0.670   0.131   1.203  -0.114
146:    -9.975   0.742  -0.751  -2.451  -3.602   6.799   1.363   3.053   4.194   3.917  -0.209   1.901 -10.158   0.085   0.486   0.023  -0.396  -0.974  -0.936   0.254  -0.804  -0.125   0.732   1.178   0.848  -0.095
147:    -9.531   1.101   0.099  -0.954  -3.508   9.621   5.210  -2.823  -1.553   1.913  -4.142   0.126 -10.005   0.248   0.077  -0.502  -0.581  -0.858  -1.418  -0.452  -0.682  -0.910   0.810   1.003  -0.000   0.043
148:    -9.601   1.203  -1.031  -1.795  -7.057   0.679   1.270  -0.231   3.901   8.577   3.786   4.104  -9.956   0.110  -0.256   0.103   0.801   0.306  -0.623  -0.838  -0.713  -1.435  -0.156  -0.236  -0.626   0.012
149:    -9.298  -0.184  -1.510  -0.339  -2.977   6.656   1.592  -0.298  -1.684   3.836  -2.155  -0.680  -9.731  -0.243  -0.776  -0.192   0.665   1.156  -0.106  -0.888   0.750  -0.484  -0.025  -0.259  -0.704  -0.163
150:    -9.542   0.103   0.567   1.247  -2.339   5.164  -1.020  -1.775  -2.917   2.177  -2.383  -0.825 -10.235  -0.341  -0.380   0.095   0.698   1.611   2.084   0.579   1.225   0.611  -0.825  -2.037  -1.241  -0.298
151:   -10.777  -2.227  -1.658   0.849  -0.087   6.849   1.915   1.701  -0.563   4.986  -2.354  -0.931 -10.679  -0.151   0.173   0.174   0.042   0.054   0.915   0.328   0.849   2.102   0.743  -0.662  -0.070  -0.290
152:   -10.567   0.324  -0.481   1.098  -0.447  11.002   4.006   4.894   6.394   3.878  -6.302  -1.974 -10.972  -0.155   0.347  -0.105  -0.677  -0.390   0.823   0.828   0.380   1.484   1.242  -0.167   0.633  -0.231
153:    -9.542   0.568  -0.116  -0.056  -3.656   8.309   0.719   0.610   4.171   6.700  -3.507  -0.455 -10.810   0.303   0.520   0.018  -0.477  -1.004  -0.024   0.137  -0.647   0.437   0.542   0.929   0.804   0.116
154:   -10.934   0.442  -0.729  -1.687  -2.504   8.548   3.720   0.669   2.138   7.530  -2.643   2.104 -11.327   0.223   0.368  -0.001  -0.621  -0.870  -0.998   0.080   0.060  -0.747   0.079   1.515   1.329   0.181
155:    -9.079   0.314  -1.442  -0.145  -4.079   7.956   2.744   0.580   3.752   5.870   0.462   1.049  -9.920   0.240   0.328  -0.058  -0.442  -0.455  -0.734  -0.249   0.324  -0.051  -0.509   1.239   0.746   0.180
156:    -9.683   2.292   0.176  -1.962  -4.585   6.190   3.394   5.207   2.867   4.688  -0.710   3.919 -10.512   0.409   0.255  -0.164  -0.235  -0.701  -0.381  -0.827   0.223  -0.642  -0.882   0.802  -0.191   0.061
157:    -8.967   1.285  -0.858  -2.130  -4.888   5.820  -0.363  -0.039   3.553   5.578   1.719   2.369 -10.318  -0.241  -0.048   0.282   0.429   0.572   0.098  -0.117   0.353  -0.667  -0.706  -0.030  -0.079  -0.302
158:    -8.943   1.232  -1.843  -1.871  -5.606   7.713   1.141   2.091  -0.972   3.265   0.737   0.489 -10.825  -0.120  -0.275   0.263   1.229   1.041  -0.023  -0.188  -0.462  -0.453  -0.360  -0.639  -0.131  -0.137
159:   -10.653   0.603   0.978   1.955  -0.710   7.686   3.285   3.902   2.334   3.050  -0.410   2.369 -11.274  -0.210  -0.323   0.159   0.940   0.624  -0.162   0.849   0.392   0.161  -0.052  -0.952  -0.009  -0.088
160:    -9.441   1.257   0.574   2.140  -1.467   5.142   0.631   0.929   1.210   4.152  -2.839   3.265 -10.719   0.063  -0.303  -0.317   0.047  -0.156  -0.008   0.610  -0.205   0.506   0.809   0.341  -0.215  -0.020
161:    -9.769  -0.343  -1.269   0.567  -3.836   6.296   4.137   2.504   3.266   4.874  -1.254   0.935 -10.812   0.275  -0.006  -0.804  -1.066  -1.515   0.075   0.081  -0.823  -0.192   0.881   0.975  -0.048   0.037
162:    -9.068   0.191  -2.306  -0.943  -4.824   8.367   3.767   1.767   1.090   6.396   2.864   0.131 -11.158   0.003   0.069  -0.475  -0.738  -1.043  -0.023  -0.422  -0.531   0.426   0.762   0.709   0.362  -0.015
163:    -9.467   1.104  -1.603  -1.835  -6.607   6.448   2.121  -0.633   1.434   6.334   1.615   3.699 -10.872   0.015   0.482   0.156  -0.227   0.563   0.396  -0.953  -0.516   0.498   0.357  -1.092   0.629  -0.064
164:    -9.580   0.878  -1.633  -0.348  -5.298   4.953  -0.471  -0.157   4.257   7.233  -0.727   3.693 -10.762   0.231   0.549   0.180   0.307   0.480  -0.386  -0.818  -0.194  -0.003  -0.376  -1.467  -0.105   0.036
165:    -9.440   1.725  -0.825  -0.865  -0.782   9.983   1.492   0.884   4.173   6.241  -4.918   2.301 -11.331  -0.097   0.070  -0.261   0.421   0.363  -0.126  -0.548  -0.044  -0.606  -0.087  -0.510  -1.651  -0.300
166:    -7.928   2.624  -1.793   0.105  -5.336   4.668  -0.006   0.039  -0.295   4.562  -1.202   0.303 -10.747  -0.280  -0.193  -0.495   0.084  -0.573   0.144   0.485   0.216  -1.694  -0.682   0.877  -0.819  -0.405
167:   -10.777   0.581  -2.826   0.042  -4.774   5.962  -0.850  -0.949   0.682   7.233  -0.697  -2.863 -12.382  -0.225  -0.458  -0.370  -0.014  -0.761  -0.189   0.024   0.338  -0.289  -0.289   0.968   0.329  -0.194
168:   -10.309   0.485  -3.106  -0.384  -6.165   7.683   3.126   1.838  -2.466   3.325   1.547   2.181 -12.260  -0.171  -0.495   0.107  -0.154   0.073   0.809   0.086   0.100   0.077  -0.600   0.034   0.460  -0.057
169:    -9.374   0.505  -2.017  -0.693  -4.173   7.530   0.046   1.673   3.816   5.416  -1.454   3.009 -11.545  -0.081  -0.241   0.013  -0.190  -0.337  -0.294  -0.211  -0.364  -0.029  -0.442  -0.132  -0.075   0.071
170:    -9.484   0.189  -1.661  -0.298  -5.269   7.930  -0.022  -0.771  -1.475   2.472  -0.651  -0.333 -11.452  -0.379  -0.099   0.215   0.446   0.674  -0.489  -0.481   0.311   1.682   1.450   0.185  -0.536  -0.093
171:   -11.596  -0.478  -3.484  -0.952  -6.909   4.369  -0.331  -1.465   0.040   5.451  -0.256  -1.982 -12.430  -0.362   0.136  -0.377   0.357   0.854   0.282   0.562   0.759   1.543   2.118   0.593  -0.636  -0.227
172:   -11.095   0.483  -1.298   1.974  -1.428   6.820   0.911   4.961   7.832  10.559   1.874   1.998 -12.284   2.740  -2.055  -2.681   1.022   1.150  -1.723   0.526   1.452   1.332  -1.060  -1.308  -0.462   2.535
173:   -10.377   1.040  -4.085  -0.042  -1.822   9.497   2.390   2.603   6.878  11.961   0.250  -1.339 -12.266   4.720  -4.392  -1.000  -0.925   2.037  -3.312   0.008  -0.245   0.879  -6.120  -1.715  -1.411   7.006
174:     3.609 -10.845 -14.766   4.356  -2.064  -3.248   1.247   4.455   1.764  -6.084  -7.442  -2.966   1.143   2.537  -5.357   2.353  -2.419   1.964  -4.940  -0.368  -3.254   0.529  -7.985  -1.606  -1.801   8.278
175:     4.651 -16.773  -1.751  -6.770   3.592  -7.159  -0.458  -2.438   7.467 -16.825  -4.174  -6.557  15.884  -0.868  -4.284   4.977  -2.589   1.661  -5.058  -0.313  -4.568   1.816  -6.120   0.043  -1.116   6.933
176:    -5.926 -17.395   9.301  -6.757   5.685  -9.554   0.496  -8.790  10.183 -14.974  -3.943  -4.397  15.030  -4.249  -1.547   5.009  -2.779   0.886  -2.650   0.232  -4.106   2.974  -0.800   2.068  -0.615   2.922
177:    -9.950 -17.103   8.767  -7.429   2.607 -12.638   1.202 -13.613  11.747 -14.196  -1.285  -6.203  15.458  -3.389  -0.843   0.872  -0.321  -0.121  -1.202   0.552  -3.232   0.469   1.049   0.985   0.549   0.108
178:   -10.336 -18.415   5.019  -9.207   2.858 -13.758   1.576 -10.486  14.493 -11.400   1.455  -6.218  15.965  -0.421  -0.330  -1.478  -0.385  -0.436  -0.364  -0.350  -1.780  -0.739   0.570   0.682   0.649   0.030
179:   -10.091 -20.480   4.750  -7.149   4.402 -11.066   1.760 -17.751   7.655 -13.368  -1.947  -2.900  15.957   1.164   0.585  -1.845  -1.430  -1.326  -0.436  -1.205  -0.439  -0.814   1.077   0.677   1.393  -0.504
180:    -7.962 -17.358   3.918  -8.823   2.610 -12.161  -1.531 -15.622   8.533 -12.535  -0.200  -2.802  14.932   2.093   1.671  -1.175  -0.828  -1.454   0.868  -2.093  -1.079  -2.151   0.915   1.125   1.749  -1.092
181:    -5.318 -14.705   0.095 -14.773  -3.897 -15.619  -3.268 -13.239  10.658  -8.244   2.928  -0.946  13.452   2.526   2.172  -1.190   0.125  -1.960   1.561  -2.619   0.037  -1.856   1.043  -0.044   0.348  -1.725
182:    -2.260 -12.947   1.470  -9.537  -0.263  -7.142  -6.375 -18.138   2.238  -9.386   4.641   1.552  11.759   2.202   1.586  -1.054   2.378  -0.746   3.940  -2.290   0.243  -2.550   0.763  -0.752   0.139  -2.412
183:    -0.311 -11.824   0.025  -6.169  -3.964  -5.768  -8.915 -16.309   1.525  -9.726  -4.586  -3.336   8.920   3.211   3.350   0.383   4.683   1.889   7.001  -0.691   1.643  -3.328   0.611  -1.480  -0.365  -2.148
184:     0.544 -10.868  -1.316  -1.235  -1.087   2.613 -10.155 -12.871   0.352  -7.981  -0.205  -0.914   5.138   4.823   4.678  -0.267   3.953   2.432   4.930   0.701   4.340  -2.906  -0.325  -0.900  -0.002  -0.831
185:     9.333   1.005   3.402   4.490   5.959  14.510  -4.832  -7.658  -5.040  -5.891  -2.048  -1.537   6.022   5.212   3.693  -0.344   2.897   3.432   2.795   0.613   5.099  -2.442  -3.204   1.138   2.193   0.899
186:    17.031   4.026  -1.553   4.899   6.937   7.368  -4.909  -0.764  -9.009 -12.930  -1.130   0.643   9.052   4.506   1.482  -1.186   1.325   3.045   0.396  -0.872   4.023  -1.550  -4.631   0.637   2.467   1.949
187:    17.507  -0.807  -1.577   5.247   9.182   5.830  -8.474   3.134  -6.006 -23.272   1.567   6.850  11.460   2.169  -1.427  -2.347   0.198   2.596  -0.981  -2.194   2.468  -0.462  -4.283   0.723   2.505   1.567
188:    18.988  -2.551  -4.758   5.010  12.526   8.931 -12.696   1.850  -6.914 -22.445   1.174   7.227  12.165   0.493  -1.551  -1.337  -0.098   2.705   1.009  -2.161   0.582   0.114  -2.190   0.561   1.747   0.769
189:    19.197  -2.841  -6.732   5.423  16.143   8.823 -11.908   3.373  -8.396 -22.546   0.418   7.694  12.302   0.162  -0.247  -0.877  -0.306   1.950   1.547  -1.216  -0.368  -0.378   0.013  -0.090   0.491   0.155
190:    18.649  -2.710  -5.661   4.322  16.981  10.918 -13.999   2.028  -7.246 -24.245   2.250   8.958  12.474  -0.090   0.094  -0.194   0.113   0.789   0.757   0.219  -0.309  -0.468   0.187  -0.105   0.301  -0.070
191:    18.487  -1.963  -5.509   4.059  16.706  12.570 -13.902   1.205  -7.728 -22.305   0.578   8.442  12.080  -0.075   0.181   0.044   0.265  -0.102   0.610   1.038  -1.131  -0.593   0.803  -0.312   0.059  -0.175
192:    18.891  -2.520  -6.341   6.259  16.189  10.842 -10.603   1.388  -9.591 -21.629   0.569   8.356  11.924   0.044   0.348  -0.462   0.462  -0.196   0.234   1.750  -0.951  -0.790   1.016  -0.773  -0.127  -0.250
193:    18.699  -2.033  -6.172   5.780  16.027  11.908  -8.414  -1.964 -10.191 -19.838  -0.303   8.291  11.700  -0.010   0.432  -0.414  -0.034   0.053   0.340   1.269  -0.641  -0.100   0.130  -0.450   0.164  -0.230
194:    18.764  -0.936  -7.642   5.769  16.342  12.421  -7.995  -1.144  -9.966 -20.398  -1.174   8.400  11.415  -0.078   0.313  -0.146  -0.317   0.038   0.515   0.613  -0.140   0.412  -0.584  -0.236   0.409  -0.167
195:    18.502  -0.594  -6.930   4.133  16.897  13.480  -8.859  -0.734  -8.039 -22.268  -0.800   9.240  11.182   0.009  -0.013  -0.209   0.101  -0.197   0.112   0.565   0.509   0.507  -1.224   0.206   0.721  -0.110
196:    18.600  -1.676  -6.692   5.498  15.944  12.631  -7.316   0.074  -8.609 -23.333  -0.361   9.928  11.346  -0.026  -0.257   0.031   0.397  -0.607  -0.186   0.965   0.691   0.025  -1.240   0.322   0.862  -0.061
197:    18.827  -1.729  -7.693   6.420  15.243  12.360  -5.926  -0.030  -8.336 -24.492   0.319  11.132  11.183  -0.085  -0.022  -0.078   0.517  -0.490  -0.392   1.151   0.811  -0.614  -0.604   0.256   0.250  -0.114
198:    18.470  -1.651  -7.106   6.611  14.133  12.051  -4.636   1.958  -9.692 -25.486  -0.124  11.766  11.111  -0.147   0.402  -0.121   0.220  -0.187  -0.466   0.881   0.878  -0.482  -0.346   0.041   0.335  -0.252
199:    18.144  -0.716  -7.114   6.164  15.354  11.812  -4.446   2.380 -10.567 -24.210   0.362   9.570  10.728  -0.198   0.384   0.229   0.136  -0.451  -0.390   0.903   0.415  -0.226   0.355  -0.561   0.193  -0.261
200:    18.206  -0.175  -7.588   6.726  14.952  10.576  -3.650   3.262  -9.904 -25.206  -0.178  12.382  10.314  -0.133   0.380   0.191   0.016  -0.474  -0.489   0.815   0.245  -0.096   1.057  -0.996  -0.182  -0.280
--------------------------------------------------------------------------------------------------------- END ----------------------------------------------------------------------------------------------------------
